file name,label,vanti,train \ test,score,vanti label,vanti with context data
U8LF2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-11_21-31-47.BMP,0,0,0,0.94,1,0
U8LEO_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-19_11-01-20.BMP,0,0,0,0.41,1,0
U8LF4_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-07_19-38-50.BMP,0,0,0,0.73,0,0
U8LF6_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-06_03-47-10.BMP,0,0,0,0.81,1,0
U8LFY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-20_22-43-55.BMP,0,0,1,0.91,1,0
U8LFK_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-06_23-46-56.BMP,0,0,0,0.83,0,0
U8LG2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-31_15-12-27.BMP,0,0,0,0.53,1,0
U8LG4_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-13_12-12-14.BMP,0,0,0,0.57,1,0
U8LGG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-08_21-10-32.BMP,0,0,0,0.50,1,0
U8LHM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-16_18-03-23.BMP,0,0,0,0.89,0,0
U8LHO_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-15_11-56-11.BMP,0,0,1,0.74,1,0
U8LHO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-15_11-56-11.BMP,0,0,0,0.58,0,0
U8LHQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-06_02-22-40.BMP,0,0,0,0.89,0,0
U8LHQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-06_02-22-40.BMP,0,0,1,0.52,1,0
U8LHQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-06_02-22-40.BMP,0,0,0,0.71,0,0
U8LHU_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-10_10-56-56.BMP,0,0,0,0.73,1,0
U8LHU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-10_10-56-56.BMP,0,0,0,0.88,1,0
U8LIS_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-30_06-08-20.BMP,0,0,1,0.60,1,0
U8LIG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-14_05-26-54.BMP,0,0,1,0.51,1,0
U8LJ0_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-26_14-06-31.BMP,0,0,0,0.60,1,0
U8LIY_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-05_22-15-42.BMP,0,0,0,0.42,1,0
U8LJ0_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-26_14-06-31.BMP,0,0,0,0.64,0,0
U8LJ2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-02_04-54-12.BMP,0,0,0,0.60,1,0
U8LJC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-27_19-18-28.BMP,0,0,0,0.83,0,0
U8LJI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY13_2020-10-05_00-14-49.BMP,0,0,0,0.70,0,0
U8LJC_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-27_19-18-28.BMP,0,0,0,0.79,1,0
U8LJI_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY13_2020-10-05_00-14-49.BMP,0,0,1,0.41,1,0
U8LJM_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY13_2020-10-12_16-32-48.BMP,0,0,0,0.83,0,0
U8LJM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY13_2020-10-12_16-32-48.BMP,0,0,0,0.73,0,0
U8LJO_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-10_22-40-15.BMP,0,0,0,0.66,1,0
U8LJO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-10_22-40-15.BMP,0,0,0,0.77,0,0
U8LK6_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-06_03-59-18.BMP,0,0,1,0.91,1,0
U8LK8_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-07_08-44-40.BMP,0,0,0,0.93,1,0
U8LKA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-03_14-04-27.BMP,0,0,0,0.55,0,0
U8LKC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-14_16-47-26.BMP,0,0,0,0.79,0,0
U8LKG_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-13_18-27-47.BMP,0,0,1,0.75,1,0
U8LKI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-11_12-15-41.BMP,0,0,0,0.70,1,0
U8LKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-02_01-23-13.BMP,0,0,0,0.69,1,0
U8LKK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-02_01-23-13.BMP,0,0,0,0.60,1,0
U8LKO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-08_14-13-02.BMP,0,0,1,0.64,1,0
U8LKS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-25_08-44-05.BMP,0,0,0,0.60,0,0
U8LKW_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-10_05-35-18.BMP,0,0,0,0.87,0,0
U8LLC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-22_12-54-20.BMP,0,0,0,0.62,0,0
U8LLC_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-22_12-54-20.BMP,0,0,1,0.45,1,0
U8LLI_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-10-11_13-50-31.BMP,0,0,0,0.82,0,0
U8LLG_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-14_19-21-54.BMP,0,0,1,0.40,1,0
U8LLI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-11_13-50-31.BMP,0,0,1,0.57,1,0
U8LLO_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-30_10-40-17.BMP,0,0,1,0.84,0,0
U8LLY_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-18_13-59-51.BMP,0,0,0,0.71,1,0
U8LM0_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-08-27_00-09-47.BMP,0,0,0,0.82,0,0
U8LM0_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-08-27_00-09-47.BMP,0,0,0,0.94,1,0
U8LM0_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-27_00-09-47.BMP,0,0,0,0.86,1,0
U8LMC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-26_23-35-47.BMP,0,0,0,0.62,1,0
U8LM6_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-08-27_00-57-56.BMP,0,0,0,0.57,0,0
U8LMG_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-08-26_23-04-36.BMP,0,0,1,0.53,1,0
U8LMC_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-08-26_23-35-47.BMP,0,0,0,0.93,1,0
U8LMG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-26_23-04-36.BMP,0,0,0,0.46,1,0
U8LMS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-23_20-09-12.BMP,0,0,1,0.91,1,0
U8LMM_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-08-31_11-32-23.BMP,0,0,0,0.83,0,0
U8LMW_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-02_19-45-59.BMP,0,0,0,0.72,1,0
U8LN0_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-21_08-12-39.BMP,0,0,0,0.92,0,0
U8LN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_05-01-28.BMP,0,0,1,0.76,1,0
U8LN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-02_05-01-28.BMP,0,0,1,0.57,1,0
U8LN6_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-24_14-12-28.BMP,0,0,0,0.53,0,0
U8LN4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-02_05-01-28.BMP,0,0,0,0.83,0,0
U8LN6_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-24_14-12-28.BMP,0,0,0,0.49,1,0
U8LN8_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-30_20-55-16.BMP,0,0,0,0.49,0,0
U8LNA_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-18_07-52-59.BMP,0,0,1,0.93,1,0
U8LO4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-09_01-43-55.BMP,0,0,0,0.42,1,0
U8LOS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-19_12-54-27.BMP,0,0,1,0.52,0,0
U8LOS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-19_12-54-27.BMP,0,0,1,0.79,0,0
U8LOU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-15_16-30-06.BMP,0,0,0,0.40,1,0
U8LP4_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-10_19-16-36.BMP,0,0,1,0.48,0,0
U8LP6_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-22_03-03-57.BMP,0,0,0,0.71,1,0
U8LPQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-22_17-01-34.BMP,0,0,0,0.93,1,0
U8LPQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-22_17-01-34.BMP,0,0,1,0.46,1,0
U8LPU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-18_20-28-05 (1).BMP,0,0,0,0.58,1,0
U8LPU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-18_20-28-05.BMP,0,0,0,0.73,1,0
U8LPW_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-09_22-15-36.BMP,0,0,0,0.81,1,0
U8LQ4_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY13_2020-11-22_17-29-05.BMP,0,0,0,0.44,0,0
U8LQG_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-05_21-12-08.BMP,0,0,0,0.77,1,0
U8LQI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY13_2020-11-29_11-14-01.BMP,0,0,0,0.65,1,0
U8LQ4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-22_16-27-10.BMP,0,0,0,0.91,1,0
U8LQG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-05_21-12-08.BMP,0,0,0,0.85,0,0
U8LQI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-29_07-25-15.BMP,0,0,0,0.76,0,0
U8LQM_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-30_10-19-32.BMP,0,0,1,0.65,1,0
U8LQS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-28_11-40-36.BMP,0,0,1,0.56,1,0
U8LQS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-28_11-40-36.BMP,0,0,0,0.48,0,0
U8LQW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-14_05-33-42.BMP,0,0,0,0.94,0,0
U8LR4_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY13_2020-10-31_20-40-10.BMP,0,0,0,0.63,0,0
U8LR4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY13_2020-10-31_20-40-10.BMP,0,0,0,0.72,0,0
U8LR6_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-27_08-30-12.BMP,0,0,0,0.85,1,0
U8LR6_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-27_08-30-12.BMP,0,0,0,0.59,0,0
U8LRA_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-25_12-40-18.BMP,0,0,0,0.64,1,0
U8LRC_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-19_20-50-23.BMP,0,0,1,0.57,0,0
U8LRM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-19_10-45-50.BMP,0,0,1,0.71,0,0
U8LRK_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-30_11-00-55.BMP,0,0,1,0.94,1,0
U8LRQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-21_08-51-27.BMP,0,0,0,0.62,1,0
U8LRY_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-21_04-33-17.BMP,0,0,1,0.40,0,0
U8LS8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-21_00-18-15.BMP,0,0,0,0.92,0,0
U8LS4_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-24_14-35-50.BMP,0,0,0,0.76,0,0
U8LS8_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-21_00-18-15.BMP,0,0,0,0.49,0,0
U8LSA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-08_21-06-13.BMP,0,0,1,0.56,0,0
U8LSC_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-29_22-35-08.BMP,0,0,1,0.85,1,0
U8LSU_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-20_07-42-08.BMP,0,0,0,0.42,1,0
U8LSE_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-10-02_20-06-39.BMP,0,0,1,0.92,0,0
U8LT0_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-26_09-50-25 (1).BMP,0,0,0,0.77,1,0
U8LT0_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-26_09-50-25.BMP,0,0,1,0.93,1,0
U8LSU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-20_07-42-08.BMP,0,0,1,0.64,0,0
U8LTE_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-09_22-20-03.BMP,0,0,1,0.84,1,0
U8LT6_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-28_06-06-05.BMP,0,0,0,0.66,0,0
U8LTE_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-09_22-20-03.BMP,0,0,0,0.92,0,0
U8LTO_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-17_20-32-16.BMP,0,0,0,0.74,1,0
U8LTI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-19_05-21-25.BMP,0,0,1,0.85,1,0
U8LTI_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-19_05-21-25.BMP,0,0,1,0.59,1,0
U8LTW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-25_09-58-35.BMP,0,0,1,0.53,0,0
U8LU8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-04_01-24-02.BMP,0,0,1,0.72,1,0
U8LUA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-19_12-07-30.BMP,0,0,0,0.53,0,0
U8LVC_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-23_10-49-40.BMP,0,0,0,0.46,0,0
U8LVW_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-29_18-27-07.BMP,0,0,0,0.49,1,0
U8LVU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-08-27_19-08-21.BMP,0,0,0,0.73,0,0
U8LWU_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-11_01-44-58.BMP,0,0,0,0.86,0,0
V9112_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-10-03_07-01-00.BMP,0,0,0,0.55,1,0
V912C_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-02_08-27-48.BMP,0,0,0,0.85,1,0
V912C_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_08-27-48.BMP,0,0,1,0.85,0,0
V9132_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-02_01-32-32.BMP,0,0,0,0.47,1,0
V9132_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_01-32-32.BMP,0,0,1,0.70,1,0
V913E_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-02_02-53-16.BMP,0,0,0,0.56,1,0
V913E_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-02_02-53-16.BMP,0,1,0,0.47,2,1
V913K_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-21_15-53-19.BMP,0,0,1,0.72,1,0
V913S_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-11-21_17-27-54.BMP,0,0,0,0.80,1,0
V916Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-09_18-06-45.BMP,0,0,1,0.65,1,0
V916Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-09_18-06-45.BMP,0,1,1,0.17,2,1
V9178_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-11_08-51-54.BMP,0,0,0,0.66,1,0
V9178_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-11_08-51-54.BMP,0,0,0,0.63,1,0
V917A_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-10_07-18-35.BMP,0,0,0,0.75,0,0
V917S_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-11_05-07-57.BMP,0,0,0,0.67,0,0
V917E_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-08-23_00-23-32.BMP,0,0,0,0.55,0,0
V9188_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-09_17-45-58.BMP,0,0,0,0.60,0,0
V917S_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-11_05-07-57.BMP,0,0,1,0.72,1,0
V9188_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-09_17-45-58.BMP,0,0,1,0.61,0,0
V918I_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-15_21-09-17.BMP,0,0,1,0.92,0,0
V918G_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-05_22-22-39.BMP,0,0,1,0.76,0,0
V918G_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-05_22-22-39.BMP,0,0,0,0.68,1,0
V918M_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-26_07-29-28.BMP,0,0,0,0.73,1,0
V918O_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-03_19-35-23.BMP,0,0,1,0.91,1,0
V918Q_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-13_00-16-36.BMP,0,0,1,0.87,1,0
V9192_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-09-03_18-59-52.BMP,0,0,0,0.57,1,0
V918Y_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-15_05-24-22.BMP,0,1,0,0.41,2,1
V9192_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-03_18-59-52.BMP,0,0,0,0.78,0,0
V9192_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-09-03_18-59-52.BMP,0,1,1,0.47,2,1
V919K_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-14_12-08-16.BMP,0,0,0,0.79,1,0
V91JG_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-10-07_15-59-19.BMP,0,0,1,0.88,1,0
V91JS_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-27_12-52-18.BMP,0,0,1,0.79,1,0
V91KI_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-28_14-47-28.BMP,0,0,1,0.94,1,0
V91KM_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-26_07-03-05.BMP,0,0,0,0.46,0,0
V91KQ_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-09-12_22-27-12.BMP,0,0,0,0.64,1,0
V91KS_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_17-26-21.BMP,0,0,0,0.51,0,0
V91KS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-02_17-26-21 (1).BMP,0,0,0,0.65,0,0
V91KS_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-11-02_17-26-21.BMP,0,0,1,0.63,1,0
V91KU_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-26_11-24-25.BMP,0,0,0,0.41,0,0
V91L2_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-02_14-53-56.BMP,0,0,1,0.52,1,0
V91L2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-11-02_14-53-56.BMP,0,0,1,0.90,0,0
V91LS_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-11_08-23-58.BMP,0,0,1,0.68,1,0
V91M8_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-11-05_10-28-22.BMP,0,0,0,0.80,1,0
V91ME_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-06_09-22-02.BMP,0,0,0,0.43,0,0
V91ME_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-06_09-22-02.BMP,0,0,0,0.76,1,0
V91MA_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-09-22_20-01-11.BMP,0,0,0,0.55,1,0
V91N0_SCAP_VE_MEAS_FIB_{MEASURE1}_P001_DX9DY9SDX9SDY14_2020-12-13_23-07-40.BMP,0,0,1,0.84,0,0
V91MU_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-12_15-55-58.BMP,0,0,1,0.72,0,0
V91N0_SCAP_VE_MEAS_FIB_{MEASURE1}_P003_DX12DY10SDX9SDY14_2020-12-13_23-07-40.BMP,0,0,0,0.76,1,0
V91N0_SCAP_VE_MEAS_FIB_{MEASURE1}_P004_DX14DY3SDX9SDY14_2020-12-13_23-07-40.BMP,0,0,0,0.43,1,0
V91N2_SCAP_VE_MEAS_FIB_{MEASURE1}_P002_DX4DY11SDX9SDY14_2020-12-05_03-27-01.BMP,0,0,0,0.86,1,0
