file name,label,vanti,train \ test,score,vanti label,vanti with pr
1P2OE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-06_06-42-02.BMP,0,0,0,0.67,2,0
1P2OE_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-06_06-42-02.BMP,0,0,0,0.44,1,0
1P2OE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-06_06-42-02.BMP,0,0,0,0.85,1,0
1P2OE_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-06_06-42-02.BMP,0,0,1,0.64,1,0
1P2OE_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-06_06-42-02.BMP,0,0,0,0.76,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,1,0.66,1,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.50,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.90,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.49,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.53,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.69,2,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.56,1,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.60,1,0
1P2OS_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-05_05-13-22.BMP,0,0,0,0.69,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.84,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.54,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.45,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.58,2,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.77,2,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,1,0.94,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.40,2,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.54,1,0
1P2OU_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-05_02-47-08.BMP,0,0,0,0.94,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.59,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,1,0.94,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.63,1,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.65,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.93,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.61,2,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,1,0.56,1,0
1P2OY_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-01_17-18-13.BMP,0,0,0,0.92,2,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,0,0.77,2,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,1,0.80,2,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,0,0.47,1,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,0,0.91,2,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,0,0.91,1,0
1P2P4_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-02_18-06-48.BMP,0,0,0,0.89,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.67,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.65,1,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.70,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.53,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.49,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.79,2,0
1P2PA_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-02_21-45-39.BMP,0,0,0,0.77,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.45,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-18_02-52-13.BMP,0,0,0,0.68,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.86,1,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.80,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.66,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,1,0.74,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.70,1,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_02-52-13.BMP,0,0,0,0.70,2,0
1P2PC_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-18_02-52-13.BMP,0,0,1,0.86,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,1,0.53,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_14-56-06.BMP,0,0,0,0.44,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.52,1,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.69,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,1,0.58,1,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.74,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_14-56-06.BMP,0,0,1,0.78,1,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.74,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_14-56-06.BMP,0,0,1,0.46,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.91,1,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_14-56-06.BMP,0,0,0,0.62,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,0,0.82,1,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-18_14-56-06.BMP,0,0,1,0.70,2,0
1P2PG_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY16_2020-11-18_18-38-20.BMP,0,0,1,0.70,1,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,1,0.91,1,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,0,0.80,2,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,0,0.41,1,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,0,0.42,2,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,1,0.87,2,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,0,0.67,2,0
1P2PI_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY17_2020-11-05_03-59-06.BMP,0,0,0,0.75,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,1,0.87,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-18_07-33-25.BMP,0,0,1,0.47,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.65,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.69,1,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.57,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.63,1,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.74,1,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_07-33-25.BMP,0,0,0,0.71,2,0
1P2PQ_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-18_07-33-25.BMP,0,0,1,0.40,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,0,0.56,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-24_09-27-41.BMP,0,0,1,0.48,1,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,0,0.54,1,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,1,0.55,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,0,0.52,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,0,0.62,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,0,0.74,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-24_09-27-41.BMP,0,0,1,0.91,2,0
1P2SQ_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-24_09-27-41.BMP,0,0,0,0.44,1,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-23_10-13-46.BMP,0,0,0,0.50,1,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,0,0.46,1,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,1,0.94,2,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,1,0.44,1,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,0,0.48,2,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,0,0.58,2,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-23_10-13-46.BMP,0,0,0,0.79,2,0
1P2V4_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-23_10-13-46.BMP,0,0,0,0.89,2,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,0,0.91,1,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-18_06-11-48.BMP,0,0,0,0.55,2,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,1,0.84,1,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,1,0.47,2,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,0,0.60,2,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,0,0.77,1,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_06-11-48.BMP,0,0,0,0.86,1,0
1P2VC_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-18_06-11-48.BMP,0,0,1,0.48,1,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,1,0.60,1,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-29_08-25-23.BMP,0,0,1,0.63,2,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,0,0.40,2,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,0,0.83,2,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,0,0.45,2,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,0,0.47,1,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-29_08-25-23.BMP,0,0,0,0.52,2,0
1P2W8_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-12-29_08-25-23.BMP,0,0,1,0.62,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,0,0.43,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,0,0.67,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,0,0.48,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,1,0.59,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,1,0.86,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,0,0.88,2,0
1P2WE_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-05_07-06-30.BMP,0,0,0,0.94,1,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,1,0.50,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-18_00-50-26.BMP,0,0,1,0.56,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,1,0.90,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,1,0.76,1,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,0,0.81,1,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,0,0.89,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,0,0.69,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-18_00-50-26.BMP,0,0,0,0.67,2,0
1P2WG_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-18_00-50-26.BMP,0,0,0,0.40,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-17_12-32-53.BMP,0,0,0,0.90,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-17_12-32-53.BMP,0,0,0,0.52,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-17_12-32-53.BMP,0,0,0,0.94,1,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-17_12-32-53.BMP,0,0,0,0.77,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-17_12-32-53.BMP,0,0,0,0.78,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-17_12-32-53.BMP,0,0,0,0.42,2,0
1P2WW_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-17_12-32-53.BMP,0,0,0,0.59,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.63,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.45,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.61,1,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,1,0.58,1,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.57,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.69,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,1,0.70,2,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.44,1,0
1P2XC_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY18_2020-11-05_05-11-10.BMP,0,0,0,0.87,2,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,0,0.90,2,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,0,0.65,2,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,0,0.83,2,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,1,0.51,1,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,0,0.77,2,0
1P2XE_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-02_17-46-34.BMP,0,0,0,0.71,1,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,1,0.44,2,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-12-29_15-47-58.BMP,0,0,0,0.86,1,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,0,0.78,2,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P005_DX3DY9SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,0,0.92,2,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,0,0.66,1,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,0,0.68,2,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-12-29_15-47-58.BMP,0,0,0,0.94,2,0
1P2Y4_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-12-29_15-47-58.BMP,0,0,0,0.77,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,0,0.82,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY14_2020-11-22_23-08-59.BMP,0,0,1,0.54,1,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,0,0.57,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,1,0.67,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P006_DX17DY9SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,1,0.84,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P007_DX6DY6SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,0,0.83,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P008_DX14DY6SDX7SDY18_2020-11-22_23-08-59.BMP,0,0,1,0.62,2,0
1P2YA_FSGB_VE_MEAS_FIB_{MEASURE}_P009_DX10DY3SDX7SDY14_2020-11-22_23-08-59.BMP,0,0,0,0.65,2,0
1P2YI_FSGB_VE_MEAS_FIB_{MEASURE}_P001_DX10DY9SDX7SDY18_2020-11-05_06-54-23.BMP,0,0,0,0.42,2,0
1P2YI_FSGB_VE_MEAS_FIB_{MEASURE}_P002_DX10DY14SDX7SDY18_2020-11-05_06-54-23.BMP,0,0,0,0.83,2,0
1P2YI_FSGB_VE_MEAS_FIB_{MEASURE}_P003_DX6DY11SDX7SDY18_2020-11-05_06-54-23.BMP,0,0,0,0.42,2,0
1P2YI_FSGB_VE_MEAS_FIB_{MEASURE}_P004_DX14DY11SDX7SDY18_2020-11-05_06-54-23.BMP,0,0,0,0.76,2,0
