file name,label,vanti,train \ test,score,vanti with PR
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-12-04_08-29-17.JPG,0,0,0,0.54,0
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-12-04_08-29-17.JPG,0,0,0,0.75,0
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-12-04_08-29-17.JPG,0,0,1,0.66,0
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-12-04_08-29-17.JPG,0,0,1,0.80,0
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-12-04_08-29-17.JPG,0,0,0,0.76,0
1A1SO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-12-04_08-29-17.JPG,0,0,0,0.86,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-11-27_14-07-12.JPG,0,0,0,0.72,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-11-27_14-07-12.JPG,0,1,0,0.18,1
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-11-27_14-07-12.JPG,0,0,0,0.56,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-27_14-07-12.JPG,0,0,0,0.58,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-11-27_14-07-12.JPG,0,0,0,0.90,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-27_14-07-12.JPG,0,0,0,0.70,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-27_14-07-12.JPG,0,0,0,0.90,0
1A1SS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-11-27_14-07-12.JPG,0,0,1,0.63,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-12-09_02-18-33.JPG,0,0,1,0.76,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-12-09_02-18-33.JPG,0,0,0,0.50,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX5SDY16_2020-12-09_02-18-33.JPG,0,0,0,0.93,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY37_2020-12-09_02-18-33.JPG,0,0,0,0.89,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX4SDY9_2020-12-09_02-18-33.JPG,0,0,1,0.70,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-12-09_02-18-33.JPG,0,1,0,0.51,1
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-12-09_02-18-33.JPG,0,0,0,0.62,0
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-12-09_02-18-33.JPG,0,1,0,0.46,1
1A1SU_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-12-09_02-18-33.JPG,0,0,0,0.90,0
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-27_14-18-04.JPG,0,0,0,0.77,0
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-11-27_14-18-04.JPG,0,1,0,0.37,1
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-11-27_14-18-04.JPG,0,1,0,0.15,1
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-11-27_14-18-04.JPG,0,1,0,0.49,1
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-11-27_14-18-04.JPG,0,1,1,0.21,1
1A1SW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-11-27_14-18-04.JPG,0,0,1,0.52,0
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-28_23-59-40.JPG,0,1,0,0.35,1
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX2SDY40_2020-11-28_23-59-40.JPG,0,1,0,0.21,1
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-11-28_23-59-40.JPG,0,0,1,0.88,0
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-11-28_23-59-40.JPG,0,1,0,0.26,1
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-28_23-59-40.JPG,0,0,1,0.47,0
1A1SY_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX13SDY45_2020-11-28_23-59-40.JPG,0,0,0,0.92,0
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-11-19_13-48-07.JPG,0,1,0,0.13,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-11-19_13-48-07.JPG,0,1,0,0.37,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-11-19_13-48-07.JPG,0,1,0,0.53,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-11-19_13-48-07.JPG,0,1,1,0.26,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-11-19_13-48-07.JPG,0,1,0,0.22,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY16_2020-11-19_13-48-07.JPG,0,1,0,0.22,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-11-19_13-48-07.JPG,0,1,0,0.15,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX13SDY18_2020-11-19_13-48-07.JPG,0,1,0,0.37,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX3SDY20_2020-11-19_13-48-07.JPG,0,1,0,0.29,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX7SDY40_2020-11-19_13-48-07.JPG,0,1,1,0.39,1
1A1T6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX13SDY18_2020-11-19_13-48-07.JPG,0,1,0,0.24,1
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX12SDY42_2020-11-17_13-19-24.JPG,0,0,0,0.47,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX8SDY22_2020-11-17_13-19-24.JPG,0,0,1,0.91,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX2SDY40_2020-11-17_13-19-24.JPG,0,0,0,0.54,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX12SDY6_2020-11-17_13-19-24.JPG,0,1,0,0.54,1
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-11-17_13-19-24.JPG,0,0,0,0.46,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-11-17_13-19-24.JPG,0,1,1,0.21,1
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-11-17_13-19-24.JPG,0,0,0,0.79,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-11-17_13-19-24.JPG,0,0,0,0.67,0
1A1T8_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-11-17_13-19-24.JPG,0,1,0,0.52,1
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-12-05_20-05-11.JPG,0,0,1,0.59,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX4SDY30_2020-12-05_20-05-11.JPG,0,0,0,0.68,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-12-05_20-05-11.JPG,0,0,1,0.82,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX8SDY22_2020-12-05_20-05-11.JPG,0,0,1,0.67,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-05_20-05-11.JPG,0,0,0,0.50,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX2SDY40_2020-12-05_20-05-11.JPG,0,1,0,0.13,1
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-12-05_20-05-11.JPG,0,0,1,0.64,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-12-05_20-05-11.JPG,0,0,0,0.57,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-12-05_20-05-11.JPG,0,0,1,0.71,0
1A1TG_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX7SDY40_2020-12-05_20-05-11.JPG,0,0,1,0.57,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX1SDY11_2020-12-16_08-12-35.JPG,0,0,0,0.40,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-16_08-12-35.JPG,0,0,0,0.86,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX10SDY15_2020-12-16_08-12-35.JPG,0,0,0,0.83,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX13SDY45_2020-12-16_08-12-35.JPG,0,0,0,0.50,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-12-16_08-12-35.JPG,0,1,0,0.23,1
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-12-16_08-12-35.JPG,0,0,1,0.60,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-12-16_08-12-35.JPG,0,0,0,0.81,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX2SDY33_2020-12-16_08-12-35.JPG,0,0,0,0.88,0
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX3SDY20_2020-12-16_08-12-35.JPG,0,1,1,0.35,1
1A1TK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-12-16_08-12-35.JPG,0,0,0,0.72,0
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX1SDY11_2020-11-21_08-01-13.JPG,0,0,1,0.43,0
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX4SDY30_2020-11-21_08-01-13.JPG,0,1,0,0.25,1
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX10SDY15_2020-11-21_08-01-13.JPG,0,1,1,0.53,1
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-11-21_08-01-13.JPG,0,1,0,0.26,1
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX4SDY9_2020-11-21_08-01-13.JPG,0,0,0,0.59,0
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-11-21_08-01-13.JPG,0,1,0,0.58,1
1A1TM_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-11-21_08-01-13.JPG,0,0,1,0.66,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-12-14_08-44-31.JPG,0,0,0,0.40,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-12-14_08-44-31.JPG,0,0,0,0.85,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-14_08-44-31.JPG,0,0,1,0.88,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY37_2020-12-14_08-44-31.JPG,0,0,0,0.75,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-12-14_08-44-31.JPG,0,1,0,0.38,1
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-12-14_08-44-31.JPG,0,0,0,0.71,0
1A1TO_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX7SDY40_2020-12-14_08-44-31.JPG,0,1,0,0.49,1
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-12-07_01-21-56.JPG,0,0,1,0.61,0
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-12-07_01-21-56.JPG,0,1,0,0.16,1
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-12-07_01-21-56.JPG,0,1,0,0.21,1
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY16_2020-12-07_01-21-56.JPG,0,0,0,0.59,0
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX10SDY15_2020-12-07_01-21-56.JPG,0,0,0,0.74,0
1A1TQ_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX3SDY20_2020-12-07_01-21-56.JPG,0,1,1,0.16,1
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-12-09_11-22-47.JPG,0,0,0,0.64,0
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-12-09_11-22-47.JPG,0,1,0,0.29,1
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX2SDY40_2020-12-09_11-22-47.JPG,0,1,1,0.55,1
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-12-09_11-22-47.JPG,0,0,0,0.69,0
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX13SDY45_2020-12-09_11-22-47.JPG,0,0,0,0.64,0
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX11SDY29_2020-12-09_11-22-47.JPG,0,0,0,0.85,0
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-12-09_11-22-47.JPG,0,1,0,0.33,1
1A1TS_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-12-09_11-22-47.JPG,0,0,0,0.55,0
1A1TU_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX9SDY34_2020-12-09_02-18-33.JPG,0,0,0,0.80,0
1A1TU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX11SDY29_2020-12-09_02-18-33.JPG,0,0,1,0.72,0
1A1TU_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-12-09_02-18-33.JPG,0,0,0,0.44,0
1A1TU_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX3SDY20_2020-12-09_02-18-33.JPG,0,1,1,0.56,1
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX12SDY42_2020-12-09_02-18-33.JPG,0,1,0,0.22,1
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX6SDY24_2020-12-09_02-18-33.JPG,0,0,1,0.41,0
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX9SDY34_2020-12-09_02-18-33.JPG,0,0,1,0.53,0
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-12-09_02-18-33.JPG,0,0,1,0.71,0
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX8SDY11_2020-12-09_02-18-33.JPG,0,0,1,0.41,0
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-12-09_02-18-33.JPG,0,0,1,0.92,0
1A1TW_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX3SDY20_2020-12-09_02-18-33.JPG,0,1,0,0.51,1
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX12SDY42_2020-12-08_20-10-04.JPG,0,0,0,0.47,0
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX1SDY11_2020-12-08_20-10-04.JPG,0,0,0,0.75,0
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX12DY6SDX12SDY42_2020-12-08_20-10-04.JPG,0,1,0,0.42,1
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-12-08_20-10-04.JPG,0,0,0,0.52,0
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX12SDY6_2020-12-08_20-10-04.JPG,0,1,1,0.21,1
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX9DY7SDX13SDY45_2020-12-08_20-10-04.JPG,0,0,0,0.68,0
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-12-08_20-10-04.JPG,0,0,0,0.80,0
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY37_2020-12-08_20-10-04.JPG,0,1,0,0.46,1
1A1U0_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX2SDY33_2020-12-08_20-10-04.JPG,0,0,0,0.93,0
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-12-12_17-21-11.JPG,0,0,0,0.47,0
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX6SDY24_2020-12-12_17-21-11.JPG,0,0,1,0.50,0
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX5SDY37_2020-12-12_17-21-11.JPG,0,0,0,0.50,0
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX11SDY29_2020-12-12_17-21-11.JPG,0,0,0,0.89,0
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX7SDY40_2020-12-12_17-21-11.JPG,0,1,0,0.22,1
1A1U4_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX16DY11SDX2SDY33_2020-12-12_17-21-11.JPG,0,1,0,0.13,1
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-06_19-40-15.JPG,0,0,0,0.48,0
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX16DY5SDX12SDY6_2020-12-06_19-40-15.JPG,0,0,0,0.53,0
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX8DY10SDX13SDY45_2020-12-06_19-40-15.JPG,0,0,0,0.70,0
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX15DY8SDX5SDY37_2020-12-06_19-40-15.JPG,0,1,0,0.14,1
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-12-06_19-40-15.JPG,0,1,1,0.35,1
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-12-06_19-40-15.JPG,0,1,1,0.23,1
1A1U6_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX3SDY20_2020-12-06_19-40-15.JPG,0,1,0,0.57,1
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX6DY11SDX1SDY11_2020-12-16_02-28-31.JPG,0,0,0,0.94,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX10DY9SDX8SDY22_2020-12-16_02-28-31.JPG,0,0,1,0.78,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX4DY6SDX9SDY34_2020-12-16_02-28-31.JPG,0,0,0,0.87,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX9SDY34_2020-12-16_02-28-31.JPG,0,0,1,0.53,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX5DY9SDX12SDY6_2020-12-16_02-28-31.JPG,0,0,1,0.87,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX6SDY24_2020-12-16_02-28-31.JPG,0,0,0,0.57,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX8DY13SDX14SDY27_2020-12-16_02-28-31.JPG,0,0,0,0.79,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX14SDY27_2020-12-16_02-28-31.JPG,0,0,0,0.92,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX11SDY29_2020-12-16_02-28-31.JPG,0,0,1,0.94,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX14SDY27_2020-12-16_02-28-31.JPG,0,0,0,0.49,0
1A1UA_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-12-16_02-28-31.JPG,0,0,1,0.83,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX4SDY30_2020-12-16_12-16-06.JPG,0,0,0,0.42,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_1_S5_LW_M1}_DX3DY8SDX8SDY22_2020-12-16_12-16-06.JPG,0,1,1,0.32,1
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_2_S5_LW_M1}_DX14DY10SDX12SDY6_2020-12-16_12-16-06.JPG,0,0,1,0.52,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_3_S5_LW_M1}_DX11DY14SDX5SDY16_2020-12-16_12-16-06.JPG,0,1,0,0.33,1
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY3SDX4SDY9_2020-12-16_12-16-06.JPG,0,0,1,0.60,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX13DY12SDX14SDY27_2020-12-16_12-16-06.JPG,0,1,0,0.53,1
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_4_S5_LW_M1}_DX17DY8SDX8SDY11_2020-12-16_12-16-06.JPG,0,0,0,0.48,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX2SDY33_2020-12-16_12-16-06.JPG,0,0,1,0.80,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX4DY12SDX7SDY40_2020-12-16_12-16-06.JPG,0,0,0,0.61,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX7DY5SDX13SDY18_2020-12-16_12-16-06.JPG,0,0,1,0.50,0
1A1UK_RWHM_VE_MEAS_CD_SEM_{S5_80_5_S5_LW_M1}_DX10DY4SDX13SDY18_2020-12-16_12-16-06.JPG,0,0,0,0.44,0
